action_type,combined_shot_type,minutes_remaining,period,playoffs,season,seconds_remaining,shot_distance,shot_made_flag,shot_type,shot_zone_area,shot_zone_basic,shot_zone_range,game_date,matchup,opponent
Jump Shot,Jump Shot,2,2,0,2002-03,16,19,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,1,2,0,2002-03,32,6,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,7,3,0,2002-03,8,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-03,LAL @ DAL,DAL
Running Finger Roll Shot,Layup,4,3,0,2002-03,46,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,1,3,0,2002-03,44,24,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,0,3,0,2002-03,0,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-03,LAL @ DAL,DAL
Driving Layup Shot,Layup,11,4,0,2002-03,50,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,11,4,0,2002-03,19,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,10,4,0,2002-03,18,14,1.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,9,4,0,2002-03,18,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-03,LAL @ DAL,DAL
Reverse Layup Shot,Layup,8,4,0,2002-03,41,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,5,4,0,2002-03,56,14,0.0,2PT Field Goal,Center(C),Mid-Range,8-16 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,2,4,0,2002-03,59,7,,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-03,LAL @ DAL,DAL
Jump Shot,Jump Shot,10,1,0,2002-03,0,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-04,LAL @ MEM,MEM
Driving Dunk Shot,Dunk,6,1,0,2002-03,47,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,5,1,0,2002-03,58,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,11,2,0,2002-03,26,21,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-04,LAL @ MEM,MEM
Turnaround Jump Shot,Jump Shot,0,2,0,2002-03,31,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Reverse Dunk Shot,Dunk,9,3,0,2002-03,44,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Running Jump Shot,Jump Shot,8,3,0,2002-03,33,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,6,3,0,2002-03,38,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Driving Layup Shot,Layup,1,3,0,2002-03,28,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,5,4,0,2002-03,48,24,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,3,4,0,2002-03,45,25,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,2,4,0,2002-03,24,23,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,2003-04-04,LAL @ MEM,MEM
Driving Layup Shot,Layup,1,4,0,2002-03,8,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Layup Shot,Layup,0,4,0,2002-03,26,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-04,LAL @ MEM,MEM
Jump Shot,Jump Shot,0,4,0,2002-03,0,20,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-04,LAL @ MEM,MEM
Turnaround Jump Shot,Jump Shot,10,1,0,2002-03,28,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-06,LAL vs. PHX,PHX
Running Dunk Shot,Dunk,9,1,0,2002-03,52,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Driving Layup Shot,Layup,7,1,0,2002-03,21,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,6,1,0,2002-03,52,26,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,5,1,0,2002-03,2,22,0.0,3PT Field Goal,Right Side(R),Right Corner 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,4,1,0,2002-03,43,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,0,1,0,2002-03,29,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,11,2,0,2002-03,1,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Layup Shot,Layup,1,2,0,2002-03,46,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Alley Oop Dunk Shot,Dunk,1,2,0,2002-03,1,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,10,3,0,2002-03,7,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Layup Shot,Layup,8,3,0,2002-03,23,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,0,3,0,2002-03,0,18,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,10,4,0,2002-03,13,27,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,9,4,0,2002-03,41,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,8,4,0,2002-03,18,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,3,4,0,2002-03,22,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,0,4,0,2002-03,49,17,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,0,4,0,2002-03,14,12,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,4,5,0,2002-03,43,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,4,5,0,2002-03,7,13,0.0,2PT Field Goal,Right Side(R),In The Paint (Non-RA),8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Driving Layup Shot,Layup,3,5,0,2002-03,26,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,2,5,0,2002-03,49,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,1,5,0,2002-03,12,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,0,5,0,2002-03,28,21,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-06,LAL vs. PHX,PHX
Jump Shot,Jump Shot,2,2,0,2002-03,13,18,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,1,2,0,2002-03,55,14,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-08,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,0,2,0,2002-03,58,15,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,0,2,0,2002-03,5,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,9,3,0,2002-03,58,26,1.0,3PT Field Goal,Center(C),Above the Break 3,24+ ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,8,3,0,2002-03,39,13,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,5,3,0,2002-03,56,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-08,LAL vs. DAL,DAL
Layup Shot,Layup,5,3,0,2002-03,30,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,4,3,0,2002-03,14,7,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-08,LAL vs. DAL,DAL
Layup Shot,Layup,3,3,0,2002-03,22,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,1,3,0,2002-03,21,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-08,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,11,4,0,2002-03,45,10,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-08,LAL vs. DAL,DAL
Running Jump Shot,Jump Shot,9,4,0,2002-03,31,20,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,8,4,0,2002-03,48,16,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-08,LAL vs. DAL,DAL
Jump Shot,Jump Shot,8,4,0,2002-03,26,27,,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-08,LAL vs. DAL,DAL
Layup Shot,Layup,2,4,0,2002-03,21,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-08,LAL vs. DAL,DAL
Slam Dunk Shot,Dunk,10,1,0,2002-03,56,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,10,1,0,2002-03,24,19,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,7,1,0,2002-03,27,8,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,6,1,0,2002-03,32,19,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,2,1,0,2002-03,19,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,10,2,0,2002-03,59,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,10,2,0,2002-03,19,20,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,2,2,0,2002-03,38,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-10,LAL vs. SAC,SAC
Driving Layup Shot,Layup,0,2,0,2002-03,6,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,11,3,0,2002-03,26,24,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,11,3,0,2002-03,1,13,1.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Layup Shot,Layup,10,3,0,2002-03,33,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,9,3,0,2002-03,21,14,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,8,3,0,2002-03,25,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Alley Oop Dunk Shot,Dunk,5,3,0,2002-03,53,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,5,3,0,2002-03,18,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-10,LAL vs. SAC,SAC
Tip Shot,Tip Shot,4,3,0,2002-03,29,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,4,3,0,2002-03,13,18,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,2,3,0,2002-03,41,17,,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,1,3,0,2002-03,32,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Driving Layup Shot,Layup,1,3,0,2002-03,22,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Turnaround Jump Shot,Jump Shot,10,4,0,2002-03,41,17,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Driving Dunk Shot,Dunk,9,4,0,2002-03,57,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,9,4,0,2002-03,15,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Layup Shot,Layup,9,4,0,2002-03,8,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,8,4,0,2002-03,19,19,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,7,4,0,2002-03,42,15,,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,6,4,0,2002-03,26,17,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,5,4,0,2002-03,17,21,0.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,1,4,0,2002-03,36,9,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-10,LAL vs. SAC,SAC
Driving Dunk Shot,Dunk,0,4,0,2002-03,51,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-10,LAL vs. SAC,SAC
Jump Shot,Jump Shot,11,1,0,2002-03,16,22,0.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,0,1,0,2002-03,47,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,4,2,0,2002-03,56,18,0.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Running Jump Shot,Jump Shot,3,2,0,2002-03,16,9,1.0,2PT Field Goal,Left Side(L),In The Paint (Non-RA),8-16 ft.,2003-04-13,LAL @ POR,POR
Driving Layup Shot,Layup,0,2,0,2002-03,52,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,11,3,0,2002-03,46,19,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,9,3,0,2002-03,36,21,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Turnaround Jump Shot,Jump Shot,8,3,0,2002-03,4,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Driving Layup Shot,Layup,4,3,0,2002-03,39,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,10,4,0,2002-03,36,17,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,9,4,0,2002-03,57,19,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Driving Layup Shot,Layup,9,4,0,2002-03,18,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,8,4,0,2002-03,14,22,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,7,4,0,2002-03,5,18,1.0,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,2,4,0,2002-03,57,19,0.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Driving Layup Shot,Layup,2,4,0,2002-03,19,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,1,4,0,2002-03,16,25,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,0,4,0,2002-03,34,21,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,0,4,0,2002-03,0,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-13,LAL @ POR,POR
Jump Shot,Jump Shot,8,1,0,2002-03,53,16,1.0,2PT Field Goal,Center(C),Mid-Range,16-24 ft.,2003-04-15,LAL vs. DEN,DEN
Turnaround Jump Shot,Jump Shot,8,1,0,2002-03,31,19,1.0,2PT Field Goal,Right Side(R),Mid-Range,16-24 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,4,1,0,2002-03,57,26,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Driving Dunk Shot,Dunk,4,1,0,2002-03,28,0,,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,3,1,0,2002-03,26,15,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-15,LAL vs. DEN,DEN
Turnaround Jump Shot,Jump Shot,3,1,0,2002-03,13,7,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,2,1,0,2002-03,18,26,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,1,1,0,2002-03,55,24,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,0,1,0,2002-03,34,8,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),8-16 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,11,2,0,2002-03,20,17,,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,10,2,0,2002-03,45,6,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-15,LAL vs. DEN,DEN
Reverse Layup Shot,Layup,10,3,0,2002-03,45,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,8,3,0,2002-03,13,25,0.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,2,3,0,2002-03,57,25,1.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Layup Shot,Layup,1,3,0,2002-03,33,0,0.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,0,3,0,2002-03,34,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-15,LAL vs. DEN,DEN
Jump Shot,Jump Shot,10,1,0,2002-03,35,13,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,8,1,0,2002-03,7,14,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,7,1,0,2002-03,25,15,0.0,2PT Field Goal,Right Side(R),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Running Hook Shot,Hook Shot,5,1,0,2002-03,49,4,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Fadeaway Jump Shot,Jump Shot,2,1,0,2002-03,53,17,1.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2003-04-16,LAL @ GSW,GSW
Running Dunk Shot,Dunk,11,2,0,2002-03,48,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,11,2,0,2002-03,21,14,,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,9,2,0,2002-03,49,4,0.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,9,2,0,2002-03,20,21,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,8,2,0,2002-03,51,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Driving Layup Shot,Layup,1,2,0,2002-03,33,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,0,2,0,2002-03,0,25,,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,9,3,0,2002-03,23,15,1.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Slam Dunk Shot,Dunk,7,3,0,2002-03,20,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Reverse Layup Shot,Layup,6,3,0,2002-03,54,0,1.0,2PT Field Goal,Center(C),Restricted Area,Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,5,3,0,2002-03,47,15,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,1,3,0,2002-03,12,20,,2PT Field Goal,Right Side Center(RC),Mid-Range,16-24 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,0,3,0,2002-03,38,22,1.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Running Jump Shot,Jump Shot,0,3,0,2002-03,26,5,1.0,2PT Field Goal,Center(C),In The Paint (Non-RA),Less Than 8 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,10,4,0,2002-03,46,25,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,9,4,0,2002-03,32,16,0.0,2PT Field Goal,Left Side(L),Mid-Range,16-24 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,8,4,0,2002-03,23,23,0.0,3PT Field Goal,Left Side(L),Left Corner 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,8,4,0,2002-03,19,10,0.0,2PT Field Goal,Left Side(L),Mid-Range,8-16 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,8,4,0,2002-03,14,24,1.0,3PT Field Goal,Left Side Center(LC),Above the Break 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,7,4,0,2002-03,0,22,1.0,2PT Field Goal,Left Side Center(LC),Mid-Range,16-24 ft.,2003-04-16,LAL @ GSW,GSW
Jump Shot,Jump Shot,6,4,0,2002-03,25,24,0.0,3PT Field Goal,Right Side Center(RC),Above the Break 3,24+ ft.,2003-04-16,LAL @ GSW,GSW
